Kasper Scmeichel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Venue,Result,Squad,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,Opposition XG,,,,,,,,,,,,,,,,,,,
30/11/2021,Home,W 1-0,Leeds United,Crystal Palace,1,0,1,100,1,0.2,1,,,,,,,,,,,,,,,,,,,
05/12/2021,Home,D 2-2,Leeds United,Brentford,3,2,1,33.3,0,1.8,0.9,,,,,,,,,,,,,,,,,,,
11/12/2021,Away,L 2-3,Leeds United,Chelsea,4,3,3,75,0,2.6,2.8,,,,,,,,,,,,,,,,,,,
14/12/2021,Away,L 0-7,Leeds United,Manchester City,15,7,8,53.3,0,4.2,3.6,,,,,,,,,,,,,,,,,,,
18/12/2021,Home,L 1-4,Leeds United,Arsenal,12,4,8,66.7,0,2.5,3.2,,,,,,,,,,,,,,,,,,,
02/01/2022,Home,W 3-1,Leeds United,Burnley,2,1,1,50,0,0.9,0.9,,,,,,,,,,,,,,,,,,,
16/01/2022,Away,W 3-2,Leeds United,West Ham,5,2,3,60,0,1.5,2,,,,,,,,,,,,,,,,,,,
22/01/2022,Home,L 0-1,Leeds United,Newcastle Utd,3,1,2,66.7,0,1.3,1.1,,,,,,,,,,,,,,,,,,,
09/02/2022,Away,D 3-3,Leeds United,Aston Villa,4,3,1,25,0,2.6,1.8,,,,,,,,,,,,,,,,,,,
12/02/2022,Away,L 0-3,Leeds United,Everton,10,3,7,70,0,2.6,2.1,,,,,,,,,,,,,,,,,,,
20/02/2022,Home,L 2-4,Leeds United,Manchester Utd,9,4,5,55.6,0,2.5,2.6,,,,,,,,,,,,,,,,,,,
23/02/2022,Away,L 0-6,Leeds United,Liverpool,12,6,8,66.7,0,5.1,5,,,,,,,,,,,,,,,,,,,
26/02/2022,Home,L 0-4,Leeds United,Tottenham,10,4,6,60,0,3.1,2.4,,,,,,,,,,,,,,,,,,,
05/03/2022,Away,L 0-1,Leeds United,Leicester City,4,1,3,75,0,0.9,0.5,,,,,,,,,,,,,,,,,,,
10/03/2022,Home,L 0-3,Leeds United,Aston Villa,9,3,6,66.7,0,3.1,1.4,,,,,,,,,,,,,,,,,,,
13/03/2022,Home,W 2-1,Leeds United,Norwich City,4,1,3,75,0,0.9,1.2,,,,,,,,,,,,,,,,,,,
18/03/2022,Away,W 3-2,Leeds United,Wolves,4,2,2,50,0,1.8,0.8,,,,,,,,,,,,,,,,,,,
02/04/2022,Home,D 1-1,Leeds United,Southampton,5,1,4,80,0,1.1,1.7,,,,,,,,,,,,,,,,,,,
09/04/2022,Away,W 3-0,Leeds United,Watford,1,0,1,100,1,0.9,1.2,,,,,,,,,,,,,,,,,,,
25/04/2022,Away,D 0-0,Leeds United,Crystal Palace,7,0,7,100,1,1.5,1.9,,,,,,,,,,,,,,,,,,,
30/04/2022,Home,L 0-4,Leeds United,Manchester City,6,4,2,33.3,0,2.8,2.7,,,,,,,,,,,,,,,,,,,
08/05/2022,Away,L 1-2,Leeds United,Arsenal,9,2,7,77.8,0,2.5,2.9,,,,,,,,,,,,,,,,,,,
11/05/2022,Home,L 0-3,Leeds United,Chelsea,3,3,0,0,0,1.8,1.5,,,,,,,,,,,,,,,,,,,
15/05/2022,Home,D 1-1,Leeds United,Brighton,6,1,5,83.3,0,1.3,2.2,,,,,,,,,,,,,,,,,,,
22/05/2022,Away,W 2-1,Leeds United,Brentford,5,1,4,80,0,1.2,1.2,,,,,,,,,,,,,,,,,,,
,,,,Totals,215,79,139,66.88421053,5,70.7,70,,,,,,,,,,,,,,,,,,,
Jose Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Venue,Result,Squad,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,Opposition xG,,,,,,,,,,,,,,,,,,,
14/08/2021,Away,L 0-1,Wolves,Leicester City,5,1,4,80,0,1.5,0.8,,,,,,,,,,,,,,,,,,,
22/08/2021,Home,L 0-1,Wolves,Tottenham,5,1,5,100,0,1.9,1.5,,,,,,,,,,,,,,,,,,,
29/08/2021,Home,L 0-1,Wolves,Manchester Utd,3,1,2,66.7,0,0.3,0.6,,,,,,,,,,,,,,,,,,,
11/09/2021,Away,W 2-0,Wolves,Watford,2,0,2,100,1,0.4,0.2,,,,,,,,,,,,,,,,,,,
18/09/2021,Home,L 0-2,Wolves,Brentford,2,2,1,50,0,2.3,2.5,,,,,,,,,,,,,,,,,,,
26/09/2021,Away,W 1-0,Wolves,Southampton,6,0,6,100,1,0.4,1.2,,,,,,,,,,,,,,,,,,,
02/10/2021,Home,W 2-1,Wolves,Newcastle Utd,2,1,1,50,0,0.7,0.6,,,,,,,,,,,,,,,,,,,
16/10/2021,Away,W 3-2,Wolves,Aston Villa,5,2,3,60,0,1.7,1.1,,,,,,,,,,,,,,,,,,,
23/10/2021,Away,D 1-1,Wolves,Leeds United,3,1,3,100,0,1,1.9,,,,,,,,,,,,,,,,,,,
01/11/2021,Home,W 2-1,Wolves,Everton,5,1,4,80,0,1.4,1.5,,,,,,,,,,,,,,,,,,,
06/11/2021,Away,L 0-2,Wolves,Crystal Palace,6,2,4,66.7,0,1.9,2,,,,,,,,,,,,,,,,,,,
20/11/2021,Home,W 1-0,Wolves,West Ham,2,0,2,100,1,0.3,0.5,,,,,,,,,,,,,,,,,,,
27/11/2021,Away,D 0-0,Wolves,Norwich City,4,0,4,100,1,1.2,1.5,,,,,,,,,,,,,,,,,,,
01/12/2021,Home,D 0-0,Wolves,Burnley,1,0,1,100,1,0.3,0.2,,,,,,,,,,,,,,,,,,,
04/12/2021,Home,L 0-1,Wolves,Liverpool,4,1,3,75,0,2.6,2.5,,,,,,,,,,,,,,,,,,,
11/12/2021,Away,L 0-1,Wolves,Manchester City,8,1,8,100,0,2.1,3.5,,,,,,,,,,,,,,,,,,,
15/12/2021,Away,W 1-0,Wolves,Brighton,2,0,2,100,1,0.2,1.1,,,,,,,,,,,,,,,,,,,
19/12/2021,Home,D 0-0,Wolves,Chelsea,1,0,1,100,1,0.1,0.8,,,,,,,,,,,,,,,,,,,
03/01/2022,Away,W 1-0,Wolves,Manchester Utd,2,0,2,100,1,0.4,0.8,,,,,,,,,,,,,,,,,,,
15/01/2022,Home,W 3-1,Wolves,Southampton,10,1,9,90,0,1.1,1.1,,,,,,,,,,,,,,,,,,,
22/01/2022,Away,W 2-1,Wolves,Brentford,1,1,0,0,0,0.5,1.3,,,,,,,,,,,,,,,,,,,
10/02/2022,Home,L 0-1,Wolves,Arsenal,2,1,1,50,0,1,1.8,,,,,,,,,,,,,,,,,,,
13/02/2022,Away,W 2-0,Wolves,Tottenham,7,0,7,100,1,1.1,1.4,,,,,,,,,,,,,,,,,,,
20/02/2022,Home,W 2-1,Wolves,Leicester City,7,1,6,85.7,0,1.8,1.6,,,,,,,,,,,,,,,,,,,
24/02/2022,Away,L 1-2,Wolves,Arsenal,5,2,4,60,0,1.9,2.7,,,,,,,,,,,,,,,,,,,
27/02/2022,Away,L 0-1,Wolves,West Ham,4,1,3,75,0,1.4,2.1,,,,,,,,,,,,,,,,,,,
05/03/2022,Home,L 0-2,Wolves,Crystal Palace,7,2,6,85.7,0,3,2.6,,,,,,,,,,,,,,,,,,,
10/03/2022,Home,W 4-0,Wolves,Watford,0,0,0,,1,0,0.9,,,,,,,,,,,,,,,,,,,
13/03/2022,Away,W 1-0,Wolves,Everton,2,0,2,100,1,0.3,0.5,,,,,,,,,,,,,,,,,,,
18/03/2022,Home,L 2-3,Wolves,Leeds United,5,3,2,40,0,1.5,2.2,,,,,,,,,,,,,,,,,,,
02/04/2022,Home,W 2-1,Wolves,Aston Villa,4,1,4,100,0,2,2.1,,,,,,,,,,,,,,,,,,,
08/04/2022,Away,L 0-1,Wolves,Newcastle Utd,3,1,3,100,0,1.2,1.6,,,,,,,,,,,,,,,,,,,
24/04/2022,Away,L 0-1,Wolves,Burnley,5,1,4,80,0,1,1.1,,,,,,,,,,,,,,,,,,,
30/04/2022,Home,L 0-3,Wolves,Brighton,8,3,6,75,0,3.3,2.5,,,,,,,,,,,,,,,,,,,
07/05/2022,Away,D 2-2,Wolves,Chelsea,5,2,4,80,0,2.3,2.5,,,,,,,,,,,,,,,,,,,
11/05/2022,Home,L 1-5,Wolves,Manchester City,5,5,0,0,0,3.6,3.1,,,,,,,,,,,,,,,,,,,
22/05/2022,Away,L 1-3,Wolves,Liverpool,2,1,1,50,0,0.5,3.2,,,,,,,,,,,,,,,,,,,
,,,,Totals,150,40,120,77.77222222,11,48.2,59.1,,,,,,,,,,,,,,,,,,,
Emi Martinez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Venue,Result,Squad,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,Opposition xG,,,,,,,,,,,,,,,,,,,
14/08/2021,Away,L 2-3,Aston Villa,Watford,7,3,4,57.1,0,1.2,1,,,,,,,,,,,,,,,,,,,
21/08/2021,Home,W 2-0,Aston Villa,Newcastle Utd,1,0,1,100,1,0,0.7,,,,,,,,,,,,,,,,,,,
28/08/2021,Home,D 1-1,Aston Villa,Brentford,2,1,1,50,0,1.1,1.1,,,,,,,,,,,,,,,,,,,
18/09/2021,Home,W 3-0,Aston Villa,Everton,1,0,1,100,1,0,0.7,,,,,,,,,,,,,,,,,,,
25/09/2021,Away,W 1-0,Aston Villa,Manchester Utd,4,0,4,100,1,0.6,2.3,,,,,,,,,,,,,,,,,,,
03/10/2021,Away,L 1-2,Aston Villa,Tottenham,7,2,6,71.4,0,1.7,1.7,,,,,,,,,,,,,,,,,,,
16/10/2021,Home,L 2-3,Aston Villa,Wolves,4,3,1,25,0,2.7,2,,,,,,,,,,,,,,,,,,,
22/10/2021,Away,L 1-3,Aston Villa,Arsenal,8,3,5,62.5,0,2.6,2.7,,,,,,,,,,,,,,,,,,,
31/10/2021,Home,L 1-4,Aston Villa,West Ham,8,4,4,50,0,2.5,2.3,,,,,,,,,,,,,,,,,,,
05/11/2021,Away,L 0-1,Aston Villa,Southampton,3,1,2,66.7,0,0.6,0.8,,,,,,,,,,,,,,,,,,,
20/11/2021,Home,W 2-0,Aston Villa,Brighton,2,0,2,100,1,0.2,0.4,,,,,,,,,,,,,,,,,,,
27/11/2021,Away,W 2-1,Aston Villa,Crystal Palace,3,1,2,66.7,0,0.8,0.9,,,,,,,,,,,,,,,,,,,
01/12/2021,Home,L 1-2,Aston Villa,Manchester City,7,2,5,71.4,0,0.9,0.9,,,,,,,,,,,,,,,,,,,
05/12/2021,Home,W 2-1,Aston Villa,Leicester City,4,1,3,75,0,1.9,1.4,,,,,,,,,,,,,,,,,,,
11/12/2021,Away,L 0-1,Aston Villa,Liverpool,4,1,3,100,0,1.4,2.5,,,,,,,,,,,,,,,,,,,
14/12/2021,Away,W 2-0,Aston Villa,Norwich City,3,0,3,100,1,0.1,0.5,,,,,,,,,,,,,,,,,,,
26/12/2021,Home,L 1-3,Aston Villa,Chelsea,2,3,1,50,0,2.6,2.8,,,,,,,,,,,,,,,,,,,
02/01/2022,Away,L 1-2,Aston Villa,Brentford,4,2,2,50,0,0.9,0.5,,,,,,,,,,,,,,,,,,,
15/01/2022,Home,D 2-2,Aston Villa,Manchester Utd,6,2,4,66.7,0,1.3,1,,,,,,,,,,,,,,,,,,,
22/01/2022,Away,W 1-0,Aston Villa,Everton,1,0,1,100,1,0.4,1.3,,,,,,,,,,,,,,,,,,,
09/02/2022,Home,D 3-3,Aston Villa,Leeds United,7,3,4,57.1,0,2.7,1.9,,,,,,,,,,,,,,,,,,,
13/02/2022,Away,L 0-1,Aston Villa,Newcastle Utd,2,1,1,50,0,0.7,0.5,,,,,,,,,,,,,,,,,,,
19/02/2022,Home,L 0-1,Aston Villa,Watford,4,1,3,75,0,1.7,1.1,,,,,,,,,,,,,,,,,,,
26/02/2022,Away,W 2-0,Aston Villa,Brighton,1,0,1,100,1,0.1,0.6,,,,,,,,,,,,,,,,,,,
05/03/2022,Home,W 4-0,Aston Villa,Southampton,1,0,1,100,1,0.3,0.7,,,,,,,,,,,,,,,,,,,
10/03/2022,Away,W 3-0,Aston Villa,Leeds United,1,0,1,100,1,0.1,0.2,,,,,,,,,,,,,,,,,,,
13/03/2022,Away,L 1-2,Aston Villa,West Ham,4,2,2,50,0,1.4,1.3,,,,,,,,,,,,,,,,,,,
19/03/2022,Home,L 0-1,Aston Villa,Arsenal,3,1,2,66.7,0,0.5,1.3,,,,,,,,,,,,,,,,,,,
02/04/2022,Away,L 1-2,Aston Villa,Wolves,4,2,3,50,0,0.5,1.2,,,,,,,,,,,,,,,,,,,
09/04/2022,Home,L 0-4,Aston Villa,Tottenham,5,4,1,20,0,3.1,1,,,,,,,,,,,,,,,,,,,
23/04/2022,Away,D 0-0,Aston Villa,Leicester City,2,0,2,100,1,0.6,0.4,,,,,,,,,,,,,,,,,,,
30/04/2022,Home,W 2-0,Aston Villa,Norwich City,3,0,3,100,1,0.4,0.6,,,,,,,,,,,,,,,,,,,
07/05/2022,Away,W 3-1,Aston Villa,Burnley,6,1,5,83.3,0,1.5,1.7,,,,,,,,,,,,,,,,,,,
10/05/2022,Home,L 1-2,Aston Villa,Liverpool,5,2,3,60,0,1.5,1.9,,,,,,,,,,,,,,,,,,,
15/05/2022,Home,D 1-1,Aston Villa,Crystal Palace,4,1,3,75,0,1.2,1.3,,,,,,,,,,,,,,,,,,,
19/05/2022,Home,D 1-1,Aston Villa,Burnley,3,1,3,100,0,1.3,1.6,,,,,,,,,,,,,,,,,,,
,,,,Totals,136,48,93,73.6,11,41.1,44.8,,,,,,,,,,,,,,,,,,,
Jordan Pickford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Venue,Result,Squad,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,Opposition xG,,,,,,,,,,,,,,,,,,,
14/08/2021,Home,W 3-1,Everton,Southampton,3,1,2,66.7,0,1,0.7,,,,,,,,,,,,,,,,,,,
21/08/2021,Away,D 2-2,Everton,Leeds United,4,2,2,50,0,1.5,1.5,,,,,,,,,,,,,,,,,,,
28/08/2021,Away,W 2-0,Everton,Brighton,3,0,3,100,1,0.5,1,,,,,,,,,,,,,,,,,,,
13/09/2021,Home,W 3-1,Everton,Burnley,5,1,4,80,0,0.7,1.3,,,,,,,,,,,,,,,,,,,
25/09/2021,Home,W 2-0,Everton,Norwich City,2,0,2,100,1,0.1,0.6,,,,,,,,,,,,,,,,,,,
02/10/2021,Away,D 1-1,Everton,Manchester Utd,6,1,5,83.3,0,0.5,0.9,,,,,,,,,,,,,,,,,,,
17/10/2021,Home,L 0-1,Everton,West Ham,4,1,3,75,0,1.7,1.5,,,,,,,,,,,,,,,,,,,
23/10/2021,Home,L 2-5,Everton,Watford,8,5,3,37.5,0,4.5,3.2,,,,,,,,,,,,,,,,,,,
01/11/2021,Away,L 1-2,Everton,Wolves,4,2,2,50,0,1.6,1.6,,,,,,,,,,,,,,,,,,,
07/11/2021,Home,D 0-0,Everton,Tottenham,0,0,0,,1,0,0.8,,,,,,,,,,,,,,,,,,,
21/11/2021,Away,L 0-3,Everton,Manchester City,7,3,4,57.1,0,2.3,2.3,,,,,,,,,,,,,,,,,,,
28/11/2021,Away,L 0-1,Everton,Brentford,3,1,3,100,0,1.1,1.2,,,,,,,,,,,,,,,,,,,
01/12/2021,Home,L 1-4,Everton,Liverpool,7,4,3,42.9,0,2.9,2.1,,,,,,,,,,,,,,,,,,,
06/12/2021,Home,W 2-1,Everton,Arsenal,3,1,2,66.7,0,0.6,1.2,,,,,,,,,,,,,,,,,,,
12/12/2021,Away,L 1-3,Everton,Crystal Palace,6,3,3,50,0,1.3,1.6,,,,,,,,,,,,,,,,,,,
16/12/2021,Away,D 1-1,Everton,Chelsea,10,1,9,90,0,3,2.7,,,,,,,,,,,,,,,,,,,
02/01/2022,Home,L 2-3,Everton,Brighton,5,3,2,40,0,2.6,1.5,,,,,,,,,,,,,,,,,,,
15/01/2022,Away,L 1-2,Everton,Norwich City,3,2,2,33.3,0,0.8,0.8,,,,,,,,,,,,,,,,,,,
22/01/2022,Home,L 0-1,Everton,Aston Villa,3,1,2,66.7,0,0.9,0.6,,,,,,,,,,,,,,,,,,,
08/02/2022,Away,L 1-3,Everton,Newcastle Utd,8,3,6,62.5,0,2.2,2.2,,,,,,,,,,,,,,,,,,,
12/02/2022,Home,W 3-0,Everton,Leeds United,0,0,0,,1,0,0.3,,,,,,,,,,,,,,,,,,,
19/02/2022,Away,L 0-2,Everton,Southampton,11,2,9,81.8,0,3.3,2,,,,,,,,,,,,,,,,,,,
26/02/2022,Home,L 0-1,Everton,Manchester City,8,1,7,87.5,0,1.3,1.6,,,,,,,,,,,,,,,,,,,
07/03/2022,Away,L 0-5,Everton,Tottenham,7,5,3,28.6,0,3,2.9,,,,,,,,,,,,,,,,,,,
13/03/2022,Home,L 0-1,Everton,Wolves,3,1,2,66.7,0,0.9,0.8,,,,,,,,,,,,,,,,,,,
03/04/2022,Away,L 1-2,Everton,West Ham,5,2,3,60,0,1.3,1.2,,,,,,,,,,,,,,,,,,,
06/04/2022,Away,L 2-3,Everton,Burnley,4,3,1,25,0,2.1,1.4,,,,,,,,,,,,,,,,,,,
09/04/2022,Home,W 1-0,Everton,Manchester Utd,4,0,4,100,1,0.6,0.7,,,,,,,,,,,,,,,,,,,
20/04/2022,Home,D 1-1,Everton,Leicester City,3,1,2,66.7,0,1.3,1,,,,,,,,,,,,,,,,,,,
24/04/2022,Away,L 0-2,Everton,Liverpool,4,2,2,50,0,1.8,1.6,,,,,,,,,,,,,,,,,,,
01/05/2022,Home,W 1-0,Everton,Chelsea,5,0,5,100,1,2.2,1.2,,,,,,,,,,,,,,,,,,,
08/05/2022,Away,W 2-1,Everton,Leicester City,8,1,7,87.5,0,1.5,1.8,,,,,,,,,,,,,,,,,,,
11/05/2022,Away,D 0-0,Everton,Watford,0,0,0,,1,0,0.3,,,,,,,,,,,,,,,,,,,
15/05/2022,Home,L 2-3,Everton,Brentford,6,3,4,50,0,2.7,1.6,,,,,,,,,,,,,,,,,,,
19/05/2022,Home,W 3-2,Everton,Crystal Palace,5,2,3,60,0,2,1.4,,,,,,,,,,,,,,,,,,,
,,,,Totals,167,58,114,66.109375,7,53.8,49.1,,,,,,,,,,,,,,,,,,,
Allison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Venue,Result,Squad,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,Opposition xG,,,,,,,,,,,,,,,,,,,
14/08/2021,Away,W 3-0,Liverpool,Norwich City,4,0,4,100,1,0.8,1.2,,,,,,,,,,,,,,,,,,,
21/08/2021,Home,W 2-0,Liverpool,Burnley,3,0,3,100,1,0.7,0.7,,,,,,,,,,,,,,,,,,,
28/08/2021,Home,D 1-1,Liverpool,Chelsea,2,1,1,50,0,0.4,0.8,,,,,,,,,,,,,,,,,,,
12/09/2021,Away,W 3-0,Liverpool,Leeds United,4,0,4,100,1,1.5,1.2,,,,,,,,,,,,,,,,,,,
18/09/2021,Home,W 3-0,Liverpool,Crystal Palace,2,0,2,100,1,0.2,0.8,,,,,,,,,,,,,,,,,,,
25/09/2021,Away,D 3-3,Liverpool,Brentford,3,3,0,0,0,1.4,1.9,,,,,,,,,,,,,,,,,,,
03/10/2021,Home,D 2-2,Liverpool,Manchester City,3,2,1,33.3,0,1.2,1.2,,,,,,,,,,,,,,,,,,,
24/10/2021,Away,W 5-0,Liverpool,Manchester Utd,3,0,3,100,1,0.4,1.5,,,,,,,,,,,,,,,,,,,
30/10/2021,Home,D 2-2,Liverpool,Brighton,6,2,3,66.7,0,1.4,1.1,,,,,,,,,,,,,,,,,,,
07/11/2021,Away,L 2-3,Liverpool,West Ham,3,3,1,0,0,1.1,0.8,,,,,,,,,,,,,,,,,,,
20/11/2021,Home,W 4-0,Liverpool,Arsenal,3,0,3,100,1,0.8,0.4,,,,,,,,,,,,,,,,,,,
27/11/2021,Home,W 4-0,Liverpool,Southampton,3,0,3,100,1,1.4,1,,,,,,,,,,,,,,,,,,,
01/12/2021,Away,W 4-1,Liverpool,Everton,1,1,0,0,0,0,0.6,,,,,,,,,,,,,,,,,,,
04/12/2021,Away,W 1-0,Liverpool,Wolves,1,0,1,100,1,0.5,0.2,,,,,,,,,,,,,,,,,,,
11/12/2021,Home,W 1-0,Liverpool,Aston Villa,0,0,0,,1,0,0.4,,,,,,,,,,,,,,,,,,,
16/12/2021,Home,W 3-1,Liverpool,Newcastle Utd,2,1,1,50,0,0.6,0.3,,,,,,,,,,,,,,,,,,,
19/12/2021,Away,D 2-2,Liverpool,Tottenham,5,2,3,60,0,3,3.4,,,,,,,,,,,,,,,,,,,
28/12/2021,Away,L 0-1,Liverpool,Leicester City,1,1,0,0,0,0.2,0.6,,,,,,,,,,,,,,,,,,,
16/01/2022,Home,W 3-0,Liverpool,Brentford,1,0,1,100,1,0.1,0.5,,,,,,,,,,,,,,,,,,,
23/01/2022,Away,W 3-1,Liverpool,Crystal Palace,5,1,4,80,0,3,2.2,,,,,,,,,,,,,,,,,,,
10/02/2022,Home,W 2-0,Liverpool,Leicester City,1,0,1,100,1,0,0.3,,,,,,,,,,,,,,,,,,,
13/02/2022,Away,W 1-0,Liverpool,Burnley,5,0,5,100,1,0.7,0.8,,,,,,,,,,,,,,,,,,,
19/02/2022,Home,W 3-1,Liverpool,Norwich City,1,1,0,0,0,0.2,0.6,,,,,,,,,,,,,,,,,,,
23/02/2022,Home,W 6-0,Liverpool,Leeds United,2,0,2,100,1,0,0.2,,,,,,,,,,,,,,,,,,,
05/03/2022,Home,W 1-0,Liverpool,West Ham,4,0,4,100,1,0.5,1.5,,,,,,,,,,,,,,,,,,,
12/03/2022,Away,W 2-0,Liverpool,Brighton,3,0,3,100,1,0.8,0.8,,,,,,,,,,,,,,,,,,,
16/03/2022,Away,W 2-0,Liverpool,Arsenal,2,0,2,100,1,0.4,0.5,,,,,,,,,,,,,,,,,,,
02/04/2022,Home,W 2-0,Liverpool,Watford,2,0,2,100,1,0.3,0.6,,,,,,,,,,,,,,,,,,,
10/04/2022,Away,D 2-2,Liverpool,Manchester City,4,2,2,50,0,1.8,2,,,,,,,,,,,,,,,,,,,
19/04/2022,Home,W 4-0,Liverpool,Manchester Utd,1,0,1,100,1,0,0.1,,,,,,,,,,,,,,,,,,,
24/04/2022,Home,W 2-0,Liverpool,Everton,1,0,1,100,1,0,0.4,,,,,,,,,,,,,,,,,,,
30/04/2022,Away,W 1-0,Liverpool,Newcastle Utd,2,0,2,100,1,0.2,0.2,,,,,,,,,,,,,,,,,,,
07/05/2022,Home,D 1-1,Liverpool,Tottenham,3,1,2,66.7,0,0.6,1.1,,,,,,,,,,,,,,,,,,,
10/05/2022,Away,W 2-1,Liverpool,Aston Villa,4,1,3,75,0,1.1,1.1,,,,,,,,,,,,,,,,,,,
17/05/2022,Away,W 2-1,Liverpool,Southampton,2,1,1,50,0,0.5,0.1,,,,,,,,,,,,,,,,,,,
22/05/2022,Home,W 3-1,Liverpool,Wolves,5,1,4,80,0,1.3,1.1,,,,,,,,,,,,,,,,,,,
,,,,Totals,97,24,73,73.19142857,20,27.1,32.2,,,,,,,,,,,,,,,,,,,
Hugo Lloris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Venue,Result,Squad,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,Opposition xG,,,,,,,,,,,,,,,,,,,
15/08/2021,Home,W 1-0,Tottenham,Manchester City,4,0,4,100,1,0.3,1.9,,,,,,,,,,,,,,,,,,,
22/08/2021,Away,W 1-0,Tottenham,Wolves,6,0,6,100,1,1.1,1.4,,,,,,,,,,,,,,,,,,,
29/08/2021,Home,W 1-0,Tottenham,Watford,1,0,1,100,1,0,0.6,,,,,,,,,,,,,,,,,,,
11/09/2021,Away,L 0-3,Tottenham,Crystal Palace,3,3,1,33.3,0,2.6,2.4,,,,,,,,,,,,,,,,,,,
19/09/2021,Home,L 0-3,Tottenham,Chelsea,9,3,6,66.7,0,3.3,1.9,,,,,,,,,,,,,,,,,,,
26/09/2021,Away,L 1-3,Tottenham,Arsenal,7,3,4,57.1,0,2.6,0.8,,,,,,,,,,,,,,,,,,,
03/10/2021,Home,W 2-1,Tottenham,Aston Villa,3,1,2,66.7,0,0.9,1.1,,,,,,,,,,,,,,,,,,,
17/10/2021,Away,W 3-2,Tottenham,Newcastle Utd,1,2,0,100,0,0.9,0.6,,,,,,,,,,,,,,,,,,,
24/10/2021,Away,L 0-1,Tottenham,West Ham,4,1,3,75,0,1.5,1.2,,,,,,,,,,,,,,,,,,,
30/10/2021,Home,L 0-3,Tottenham,Manchester Utd,4,3,1,25,0,2.1,1.2,,,,,,,,,,,,,,,,,,,
07/11/2021,Away,D 0-0,Tottenham,Everton,2,0,2,100,1,0.1,0.5,,,,,,,,,,,,,,,,,,,
21/11/2021,Home,W 2-1,Tottenham,Leeds United,7,1,6,85.7,0,1,1.1,,,,,,,,,,,,,,,,,,,
02/12/2021,Home,W 2-0,Tottenham,Brentford,2,0,2,100,1,0.3,0.3,,,,,,,,,,,,,,,,,,,
05/12/2021,Home,W 3-0,Tottenham,Norwich City,1,0,1,100,1,0.3,1.6,,,,,,,,,,,,,,,,,,,
19/12/2021,Home,D 2-2,Tottenham,Liverpool,6,2,4,66.7,0,2.7,1.5,,,,,,,,,,,,,,,,,,,
26/12/2021,Home,W 3-0,Tottenham,Crystal Palace,0,0,0,,1,0,0.2,,,,,,,,,,,,,,,,,,,
28/12/2021,Away,D 1-1,Tottenham,Southampton,2,1,1,50,0,0.7,0.4,,,,,,,,,,,,,,,,,,,
01/01/2022,Away,W 1-0,Tottenham,Watford,4,0,4,100,1,0.4,0.3,,,,,,,,,,,,,,,,,,,
19/01/2022,Away,W 3-2,Tottenham,Leicester City,4,2,2,50,0,1.7,1.5,,,,,,,,,,,,,,,,,,,
23/01/2022,Away,L 0-2,Tottenham,Chelsea,7,2,5,71.4,0,1.7,0.9,,,,,,,,,,,,,,,,,,,
09/02/2022,Home,L 2-3,Tottenham,Southampton,9,3,6,66.7,0,3.2,2.7,,,,,,,,,,,,,,,,,,,
13/02/2022,Home,L 0-2,Tottenham,Wolves,7,2,5,71.4,0,1.9,1.3,,,,,,,,,,,,,,,,,,,
19/02/2022,Away,W 3-2,Tottenham,Manchester City,3,2,2,66.7,0,2.3,2.1,,,,,,,,,,,,,,,,,,,
23/02/2022,Away,L 0-1,Tottenham,Burnley,4,1,3,75,0,0.8,1.1,,,,,,,,,,,,,,,,,,,
26/02/2022,Away,W 4-0,Tottenham,Leeds United,2,0,2,100,1,0.5,1.5,,,,,,,,,,,,,,,,,,,
07/03/2022,Home,W 5-0,Tottenham,Everton,0,0,0,,1,0,0.2,,,,,,,,,,,,,,,,,,,
12/03/2022,Away,L 2-3,Tottenham,Manchester Utd,6,3,3,50,0,1.7,1.1,,,,,,,,,,,,,,,,,,,
16/03/2022,Away,W 2-0,Tottenham,Brighton,0,0,0,,1,0,0.7,,,,,,,,,,,,,,,,,,,
20/03/2022,Home,W 3-1,Tottenham,West Ham,1,1,0,0,0,0.4,0.6,,,,,,,,,,,,,,,,,,,
03/04/2022,Home,W 5-1,Tottenham,Newcastle Utd,1,1,0,0,0,0.4,0.6,,,,,,,,,,,,,,,,,,,
09/04/2022,Away,W 4-0,Tottenham,Aston Villa,8,0,8,100,1,0.6,1.6,,,,,,,,,,,,,,,,,,,
16/04/2022,Home,L 0-1,Tottenham,Brighton,4,1,3,75,0,0.6,0.7,,,,,,,,,,,,,,,,,,,
23/04/2022,Away,D 0-0,Tottenham,Brentford,1,0,1,100,1,0,0.8,,,,,,,,,,,,,,,,,,,
01/05/2022,Home,W 3-1,Tottenham,Leicester City,2,1,0,50,0,1,0.4,,,,,,,,,,,,,,,,,,,
